---
time_ms,angle,S1,S2,max,is_grasped
5,0,0,0,0,0
10,1,0,0,0,0
40,2,0,0,0,0
80,3,0,0,0,0
120,4,0,0,0,0
160,5,0,0,0,0
200,6,0,0,0,0
240,7,0,0,0,0
280,8,0,0,0,0
320,9,0,0,0,0
360,10,0,0,0,0
400,11,0,0,0,0
440,12,0,0,0,0
480,13,0,0,0,0
520,14,0,0,0,0
560,15,0,0,0,0
600,16,0,0,0,0
640,17,0,0,0,0
680,18,0,0,0,0
720,19,0,0,0,0
760,20,0,0,0,0
800,21,0,0,0,0
840,22,0,0,0,0
880,23,0,0,0,0
920,24,0,0,0,0
960,25,0,0,0,0
1000,26,0,0,0,0
1040,27,0,0,0,0
1080,28,0,0,0,0
1120,29,0,0,0,0
1160,30,0,0,0,0
1200,31,0,0,0,0
1240,32,0,0,0,0
1280,33,0,0,0,0
1320,34,0,0,0,0
1360,35,0,0,0,0
1400,36,0,0,0,0
1440,37,0,0,0,0
1480,38,0,0,0,0
1520,39,0,0,0,0
1560,40,0,0,0,0
1600,41,0,0,0,0
# Contact at angle: 42
1640,42,1211,0,1211,1
# Contact at angle: 43
1680,43,1695,0,1695,1
# Contact at angle: 44
1720,44,1828,0,1828,1
# Contact at angle: 45
1760,45,2046,0,2046,1
# Contact at angle: 46
1800,46,2219,0,2219,1
# Contact at angle: 47
1840,47,2249,396,2249,1
# Contact at angle: 48
1880,48,2258,2207,2258,1
# Contact at angle: 49
1920,49,2304,2714,2714,1
# Contact at angle: 50
1960,50,2292,2855,2855,1
# Contact at angle: 51
2000,51,2286,2903,2903,1
# Contact at angle: 52
2040,52,2543,2988,2988,1
# Contact at angle: 53
2080,53,2711,3058,3058,1
# FIRM GRASP at angle: 53
